domain,category,ti_walk_n_rep,ti_walk_pct_rep,ti_walk_ci_low_rep,ti_walk_ci_high_rep,nonti_walk_n_rep,nonti_walk_pct_rep,nonti_walk_ci_low_rep,nonti_walk_ci_high_rep,ti_walk_n_pub,ti_walk_pct_pub,ti_walk_ci_low_pub,ti_walk_ci_high_pub,nonti_walk_n_pub,nonti_walk_pct_pub,nonti_walk_ci_low_pub,nonti_walk_ci_high_pub,ti_walk_pct_diff,nonti_walk_pct_diff
Overall,Overall,418.0,30.9,27.9,34.1,3663,15.3,14.5,16.1,417.0,30.9,27.9,34.1,3656,15.3,14.5,16.1,0.0,0.0
Sex,Female,248.0,33.3,29.5,37.3,1795,13.9,13.0,14.8,247.0,33.2,29.4,37.3,1791,13.9,13.0,14.8,0.1,0.0
Sex,Male,170.0,28.1,23.8,32.9,1868,16.7,15.7,17.7,170.0,28.1,23.8,32.9,1865,16.7,15.7,17.7,0.0,0.0
Age,18-24,72.0,47.9,39.7,56.3,401,25.8,23.4,28.4,72.0,47.9,39.0,57.0,401,25.8,23.4,28.4,0.0,0.0
Age,25-34,95.0,40.7,33.8,48.1,738,19.5,17.8,21.2,95.0,40.7,33.5,48.4,738,19.5,17.8,21.2,0.0,0.0
Age,35-44,67.0,29.3,23.2,36.3,620,15.5,14.1,16.9,67.0,29.3,23.2,36.3,620,15.5,14.1,16.9,0.0,0.0
Age,45-64,115.0,23.4,19.6,27.8,1084,12.8,11.8,13.8,115.0,23.4,19.5,27.8,1084,12.8,11.8,13.8,0.0,0.0
Age,>=65,69.0,17.7,13.2,23.3,820,10.2,9.3,11.2,68.0,17.5,13.0,23.1,813,10.1,9.2,11.1,0.2,0.1
Race/Ethnicity,Non-Hispanic AIAN,,,,,46,15.5,11.5,20.6,,,,,46,15.6,11.5,20.7,,-0.1
Race/Ethnicity,Non-Hispanic Asian,,,,,312,20.8,18.2,23.7,,,,,311,20.8,18.2,23.7,,0.0
Race/Ethnicity,Non-Hispanic Black,99.0,42.8,36.0,49.9,402,16.2,14.1,18.5,98.0,42.6,35.4,50.2,402,16.2,14.1,18.6,0.2,0.0
Race/Ethnicity,Hispanic or Latino/a,75.0,31.8,25.9,38.3,535,15.4,13.9,17.0,75.0,32.0,25.7,39.0,535,15.4,13.9,17.0,-0.2,0.0
Race/Ethnicity,Non-Hispanic White,199.0,24.5,20.9,28.4,2296,14.3,13.5,15.2,199.0,24.5,20.8,28.5,2290,14.3,13.4,15.2,0.0,0.0
Race/Ethnicity,Non-Hispanic Other/Multiple,,,,,72,24.5,19.3,30.5,,,,,72,24.5,19.2,30.7,,0.0
Education,Less than high school,78.0,38.9,31.9,46.5,275,14.3,12.5,16.2,77.0,38.8,31.6,46.5,275,14.3,12.5,16.2,0.1,0.0
Education,High school or GED,112.0,31.0,25.8,36.6,669,12.1,11.0,13.3,112.0,31.0,25.8,36.7,668,12.1,10.9,13.3,0.0,0.0
Education,Some college or associate degree,119.0,29.5,24.8,34.7,868,13.8,12.8,15.0,119.0,29.6,24.8,34.8,867,13.8,12.8,15.0,-0.1,0.0
Education,Bachelor degree or higher,109.0,26.4,21.9,31.4,1851,19.4,18.1,20.6,109.0,26.4,21.7,31.6,1846,19.3,18.1,20.6,0.0,0.1
Disability,With disabilities,78.0,25.3,19.9,31.5,182,9.8,8.2,11.6,78.0,25.3,19.8,31.6,182,9.8,8.2,11.6,0.0,0.0
Disability,Without disabilities,340.0,32.5,28.9,36.3,3481,15.7,14.9,16.5,339.0,32.5,28.8,36.3,3474,15.7,14.9,16.5,0.0,0.0
Region,Northeast,75.0,34.9,27.7,42.8,904,24.6,22.2,27.3,75.0,34.9,27.7,42.8,902,24.6,22.1,27.3,0.0,0.0
Region,Midwest,92.0,30.9,24.3,38.3,796,15.4,13.8,17.3,92.0,30.9,24.3,38.4,794,15.4,13.8,17.2,0.0,0.0
Region,South,117.0,23.5,19.2,28.4,872,9.6,8.7,10.7,117.0,23.6,19.3,28.5,872,9.6,8.7,10.7,-0.1,0.0
Region,West,134.0,39.7,34.2,45.6,1091,17.2,15.7,18.9,133.0,39.6,34.0,45.4,1088,17.2,15.6,18.9,0.1,0.0
Urban-Rural,Large central metropolitan,158.0,36.0,31.2,41.1,1716,23.0,21.3,24.8,158.0,36.0,31.0,41.3,1713,23.0,21.2,24.9,0.0,0.0
Urban-Rural,Large fringe metropolitan,73.0,28.7,22.5,35.7,748,13.5,12.3,14.8,73.0,28.8,22.7,35.8,747,13.5,12.3,14.8,-0.1,0.0
Urban-Rural,Medium and small metropolitan,137.0,30.6,25.5,36.4,863,11.8,10.8,12.9,136.0,30.5,25.0,36.7,861,11.8,10.7,13.0,0.1,0.0
Urban-Rural,Nonmetropolitan,50.0,24.1,17.1,32.9,336,8.8,7.6,10.2,50.0,24.1,17.1,32.9,335,8.8,7.6,10.2,0.0,0.0
Income-Poverty Ratio,<1.00,142.0,39.8,34.3,45.6,424,21.1,18.8,23.5,142.0,39.8,34.2,45.7,424,21.1,18.8,23.5,0.0,0.0
Income-Poverty Ratio,1.00-1.99,112.0,33.7,28.4,39.5,553,14.6,13.1,16.1,111.0,33.7,28.3,39.5,552,14.6,13.1,16.1,0.0,0.0
Income-Poverty Ratio,2.00-2.99,57.0,29.4,22.9,36.8,465,12.3,11.1,13.7,57.0,29.4,22.4,37.5,464,12.3,11.1,13.7,0.0,0.0
Income-Poverty Ratio,3.00-3.99,33.0,21.5,14.0,31.5,386,11.8,10.4,13.4,33.0,21.5,13.7,32.0,385,11.8,10.4,13.4,0.0,0.0
Income-Poverty Ratio,>=4.00,74.0,21.7,16.9,27.5,1835,16.5,15.5,17.6,74.0,21.7,16.8,27.6,1831,16.5,15.4,17.5,0.0,0.0
